Filename	HiF	LoF	Species Manual ID	SppAccp	#Maj	#Accp	~Spp	1st	2nd	3rd	4th	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	mean HiFreq	mean LoFreq	mean UpprSlp	mean LwrSlp	mean TotalSlp	mean PrecedingIntvl	ParentDir	NextDirUp	FileLength(sec)	Version	AccpQuality	Max#CallsConsidered
AMPHIT1_20140707_171417.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_171625.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_172337.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_172425.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_173329.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_174105.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_174425.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_180409.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_180417.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_181123.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_181339.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_181419.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_182139.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_182803.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_190723.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_190811.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_191235.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_193451.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_193507.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_194115.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_194251.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_194435.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_195147.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_200811.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_201203.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_201315.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_202011.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_203547.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_205755.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_210051.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_210659.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_210739.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_211123.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_211459.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_211851.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_212043.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
AMPHIT1_20140707_212251.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	AMPHIT1_July_shorts_0707_0711	AMPHIT1_July_shorts	8.00	4.22	0.80	16
