Filename	HiF	LoF	Species Manual ID	SppAccp	#Maj	#Accp	~Spp	1st	2nd	3rd	4th	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	mean HiFreq	mean LoFreq	mean UpprSlp	mean LwrSlp	mean TotalSlp	mean PrecedingIntvl	ParentDir	NextDirUp	FileLength(sec)	Version	AccpQuality	Max#CallsConsidered
EASTLA1_20140617_170521.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170545.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170553.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170609.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170617.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170633.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170649.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170657.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170705.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170713.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170721.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170737.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170745.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170753.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170801.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170809.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170817.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170825.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170833.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170849.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170857.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170905.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170913.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170921.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170937.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170945.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_170953.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171009.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171025.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171113.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171121.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171129.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171145.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171153.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171201.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
EASTLA1_20140617_171209.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_June_shorts_0617_0622	EASTLA1_June_shorts	8.00	4.22	0.80	16
