Filename	HiF	LoF	Species Manual ID	SppAccp	#Maj	#Accp	~Spp	1st	2nd	3rd	4th	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	mean HiFreq	mean LoFreq	mean UpprSlp	mean LwrSlp	mean TotalSlp	mean PrecedingIntvl	ParentDir	NextDirUp	FileLength(sec)	Version	AccpQuality	Max#CallsConsidered
EASTLA1_20140707_170927.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_170935.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_170951.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_170959.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171007.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171015.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171023.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171031.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171039.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171047.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171055.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171103.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171111.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171119.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171127.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171143.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171151.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171215.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171231.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171239.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171255.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171303.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
EASTLA1_20140707_171311.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA1_shorts_0707_0712	EASTLA1_July_shorts	8.00	4.22	0.80	16
