Filename	HiF	LoF	Species Manual ID	SppAccp	#Maj	#Accp	~Spp	1st	2nd	3rd	4th	Fc mean	Fc StdDev	Dur mean	Dur StdDev	calls/sec	mean HiFreq	mean LoFreq	mean UpprSlp	mean LwrSlp	mean TotalSlp	mean PrecedingIntvl	ParentDir	NextDirUp	FileLength(sec)	Version	AccpQuality	Max#CallsConsidered
EASTLA2_20140614_170415.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170431.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170439.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170447.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170455.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170503.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170519.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170527.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170543.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170551.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170559.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170615.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170623.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170639.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170647.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170719.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170727.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170735.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170743.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170751.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170759.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170807.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170815.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170831.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170911.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170919.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170927.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170951.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_170959.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171007.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171015.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171023.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171031.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171047.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171055.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171127.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171135.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171151.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171159.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171207.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171215.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171223.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171231.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171239.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171311.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171319.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171327.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171335.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171351.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171407.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171423.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171431.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
EASTLA2_20140614_171439.wav	x	x		x	x	x	x	x	x	x	x	x	x	x	x	Inf	x	x	x	x	x	x	EASTLA2_June_shorts	EASTLA2_2014_short_files	8.00	4.22	0.80	16
